web-scraper-order,web-scraper-start-url,article_ordinateurs_links,article_ordinateurs_links-href,etat_ordinateur,marque_ordinateur,couleur_ordinateurs,processeur_ordinateur,ram_ordinateur,stockage_ordinateur,prix_ordinateur
1738673853-180,https://www.expat-dakar.com/ordinateurs?page=228,"HP PAVILLON CORE I5 14 POUCES
                                NeufHP
                                                                                    Médina,
                                                                                Dakar
                                    
                                        6. janv., 11:22
                                    
                                            Vendeur vérifié
                                        
                    399 000 F Cfa
                        
                        770939191
                    
                        338420531",https://www.expat-dakar.com/annonce/hp-pavillon-core-i5-14-pouces-5841555,Neuf,HP,gris,CORE I5,16 GO,512 SSD,399 000 F Cfa
1738673858-181,https://www.expat-dakar.com/ordinateurs?page=228,"DELL LATATUDE 7390 I7
                                RéconditionnéDell
                                                                                    Colobane,
                                                                                Dakar
                                    
                                        5. janv., 19:48
                                    
                    200 000 F Cfa
                        
                        776719695
                    
                        773870030
                    
                        778604359",https://www.expat-dakar.com/annonce/dell-latatude-7390-i7-5858567,Réconditionné,Dell,ROSE,CORE I7,8GO,256SSD,200 000 F Cfa
1738673862-182,https://www.expat-dakar.com/ordinateurs?page=228,"DELL LATATUDE 7390 I5
                                RéconditionnéDell
                                                                                    Colobane,
                                                                                Dakar
                                    
                                        5. janv., 20:48
                                    
                    175 000 F Cfa
                        
                        776719695
                    
                        773870030
                    
                        778604359",https://www.expat-dakar.com/annonce/dell-latatude-7390-i5-5858568,Réconditionné,Dell,NOIR,CORE I5,8GO,256SSD,175 000 F Cfa
1738673865-183,https://www.expat-dakar.com/ordinateurs?page=228,"DELL LATATUDE 7280 I5
                                RéconditionnéDell
                                                                                    Colobane,
                                                                                Dakar
                                    
                                        5. janv., 19:46
                                    
                    125 000 F Cfa
                        
                        776719695
                    
                        773870030
                    
                        778604359",https://www.expat-dakar.com/annonce/dell-latatude-7280-i5-5858569,Réconditionné,Dell,ROUGE,CORE I5,8GO,256SSD,125 000 F Cfa
1738673874-186,https://www.expat-dakar.com/ordinateurs?page=228,"Hp 840 g4 tactile i5 7th ram 8
                                VenantHP
                                                                                    Médina,
                                                                                Dakar
                                    
                                        26. déc. '24, 12:06
                                    
                                            Vendeur vérifié
                                        
                    190 000 F Cfa
                        
                        774901212
                    
                        773611304
                    
                        767499096",https://www.expat-dakar.com/annonce/hp-840-g4-tactile-i5-7th-ram-8-5371458,Venant,HP,gris,i5 7th,8,500 go hdd ou 128 go ssd,190 000 F Cfa
1738673877-187,https://www.expat-dakar.com/ordinateurs?page=228,"GAMER LENOVO P53 CORE I7
                                RéconditionnéLenovo
                                                                                    Colobane,
                                                                                Dakar
                                    
                                        5. janv., 19:45
                                    
                    325 000 F Cfa
                        
                        776719695
                    
                        773870030
                    
                        778604359",https://www.expat-dakar.com/annonce/gamer-lenovo-p53-core-i7-5865297,Réconditionné,Lenovo,NOIR,core i7,16GO,512 SSD,325 000 F Cfa
1738673880-188,https://www.expat-dakar.com/ordinateurs?page=228,"HP 290 G4 CORE I7
                                NeufHP
                                                                                    Médina,
                                                                                Dakar
                                    
                                        3. déc. '24, 11:07
                                    
                                            Vendeur vérifié
                                        
                    525 000 F Cfa
                        
                        770939191
                    
                        338420531",https://www.expat-dakar.com/annonce/hp-290-g4-core-i7-5832813,Neuf,HP,NOIR,CORE I7,4Go,1 TERA HDD,525 000 F Cfa
1738673886-189,https://www.expat-dakar.com/ordinateurs?page=227,"HP PROBOOK 650 G1 I5
                                RéconditionnéHP
                                                                                    Colobane,
                                                                                Dakar
                                    
                                        5. janv., 16:00
                                    
                    100 000 F Cfa
                        
                        772684188
                    
                        773870030
                    
                        775789236",https://www.expat-dakar.com/annonce/hp-probook-650-g1-i5-5870227,Réconditionné,HP,GRIS NOIR,CORE I5,4GO,500GO,100 000 F Cfa
1738673895-192,https://www.expat-dakar.com/ordinateurs?page=227,"HP PROBOOK 450 G8 I7
                                RéconditionnéHP
                                                                                    Colobane,
                                                                                Dakar
                                    
                                        5. janv., 16:00
                                    
                    249 999 F Cfa
                        
                        772684188
                    
                        773870030
                    
                        775789236",https://www.expat-dakar.com/annonce/hp-probook-450-g8-i7-5878751,Réconditionné,HP,GRIS,CORE I7,16GO,512 SSD,249 999 F Cfa
1738673911-197,https://www.expat-dakar.com/ordinateurs?page=227,"HP CORE I7 12 EME GEN
                                NeufHP
                                                                                    Colobane,
                                                                                Dakar
                                    
                                        dimanche, 19:50
                                    
                    550 000 F Cfa
                        
                        772684188
                    
                        773870030
                    
                        775789236",https://www.expat-dakar.com/annonce/hp-core-i7-12-eme-gen-4424741,Neuf,HP,GRISE,4.7GHZ,8GO,512GO,550 000 F Cfa
1738673923-199,https://www.expat-dakar.com/ordinateurs?page=226,"HP ENVY X360 15-ES2003CA Core I7 12th gen Ram 16Go
                                NeufHP
                                                                                    Médina,
                                                                                Dakar
                                    
                                        19. déc. '24, 08:28
                                    
                                            Vendeur vérifié
                                        
                    760 000 F Cfa
                        
                        774901212
                    
                        773611304
                    
                        767499096",https://www.expat-dakar.com/annonce/hp-envy-x360-15-es2003ca-core-i7-12th-gen-ram-16go-3600837,Neuf,HP,Noir,i7 12th gen,16Go,1 To ssd,760 000 F Cfa
1738673925-200,https://www.expat-dakar.com/ordinateurs?page=226,"HP ENVY X360 14-ES0033DX Core i7 13th gen Ram 16Go
                                NeufHP
                                                                                    Médina,
                                                                                Dakar
                                    
                                        19. déc. '24, 08:28
                                    
                                            Vendeur vérifié
                                        
                    720 000 F Cfa
                        
                        774901212
                    
                        773611304
                    
                        767499096",https://www.expat-dakar.com/annonce/hp-envy-x360-14-es0033dx-core-i7-13th-gen-ram-16go-5760680,Neuf,HP,Noir,core i7 13th gen,16Go,1 To ssd,720 000 F Cfa
1738673933-203,https://www.expat-dakar.com/ordinateurs?page=226,"HP ENVY X360 15T-FE000 Core i7 13th gen Ram 16Go + Stylet
                                NeufHP
                                                                                    Médina,
                                                                                Dakar
                                    
                                        26. déc. '24, 12:02
                                    
                                            Vendeur vérifié
                                        
                    1 150 000 F Cfa
                        
                        774901212
                    
                        773611304
                    
                        767499096",https://www.expat-dakar.com/annonce/hp-envy-x360-15t-fe000-core-i7-13th-gen-ram-16go-stylet-5589658,Neuf,HP,Gris,i7 13th gen,16Go,1To ssd,1 150 000 F Cfa
1738673936-204,https://www.expat-dakar.com/ordinateurs?page=226,"HP PAVILLON X360 14-DY2050WM CORE I5 12th gen
                                NeufHP
                                                                                    Médina,
                                                                                Dakar
                                    
                                        26. déc. '24, 12:01
                                    
                                            Vendeur vérifié
                                        
                    500 000 F Cfa
                        
                        774901212
                    
                        773611304
                    
                        767499096",https://www.expat-dakar.com/annonce/hp-pavillon-x360-14-dy2050wm-core-i5-12th-gen-5797368,Neuf,HP,Gris,i5 12th gen,8,256Go ssd,500 000 F Cfa
1738673940-205,https://www.expat-dakar.com/ordinateurs?page=226,"HP DUAL CORE 15 POUCES
                                NeufHP
                                                                                    Médina,
                                                                                Dakar
                                    
                                        31. déc. '24, 13:10
                                    
                                            Vendeur vérifié
                                        
                    199 899 F Cfa
                        
                        770939191
                    
                        338420531",https://www.expat-dakar.com/annonce/hp-dual-core-15-pouces-5907013,Neuf,HP,gris,DUAL CORE,8Go,512 SSD,199 899 F Cfa
1738673943-206,https://www.expat-dakar.com/ordinateurs?page=226,"TOSHIBA TECRA CORE I5
                                VenantToshiba
                                                                                    Médina,
                                                                                Dakar
                                    
                                        31. déc. '24, 13:08
                                    
                                            Vendeur vérifié
                                        
                    190 000 F Cfa
                        
                        770939191
                    
                        338420531",https://www.expat-dakar.com/annonce/toshiba-tecra-core-i5-5832824,Venant,Toshiba,NOIR,CORE I5,8Go,256 SSD,190 000 F Cfa
1738673956-209,https://www.expat-dakar.com/ordinateurs?page=225,"HP PAVILION X360 14-EK0013DX Core i3 12th gen
                                NeufHP
                                                                                    Médina,
                                                                                Dakar
                                    
                                        19. déc. '24, 08:28
                                    
                                            Vendeur vérifié
                                        
                    370 000 F Cfa
                        
                        774901212
                    
                        773611304
                    
                        767499096",https://www.expat-dakar.com/annonce/hp-pavilion-x360-14-ek0013dx-core-i3-12th-gen-5622928,Neuf,HP,Noir,i3 12th gen,8,256Go ssd,370 000 F Cfa
1738673958-210,https://www.expat-dakar.com/ordinateurs?page=225,"HP ENVY X360 14-ES0013DX core i5 13th gen Rom 512Go SSD
                                NeufHP
                                                                                    Médina,
                                                                                Dakar
                                    
                                        26. déc. '24, 12:00
                                    
                                            Vendeur vérifié
                                        
                    550 000 F Cfa
                        
                        774901212
                    
                        773611304
                    
                        767499096",https://www.expat-dakar.com/annonce/hp-envy-x360-14-es0013dx-core-i5-13th-gen-rom-512go-ssd-5798780,Neuf,HP,Gris,i5 13th gen,8Go,512Go ssd,550 000 F Cfa
1738673962-211,https://www.expat-dakar.com/ordinateurs?page=225,"Lenovo IdeaPad 3 dual core Ram 4Go Rom 1To
                                NeufLenovo
                                                                                    Médina,
                                                                                Dakar
                                    
                                        26. déc. '24, 11:59
                                    
                                            Vendeur vérifié
                                        
                    180 000 F Cfa
                        
                        774901212
                    
                        773611304
                    
                        767499096",https://www.expat-dakar.com/annonce/lenovo-ideapad-3-dual-core-ram-4go-rom-1to-5848283,Neuf,Lenovo,Gris,Dual Core,4Go,1To,180 000 F Cfa
1738673977-215,https://www.expat-dakar.com/ordinateurs?page=225,"HP 15s-FQ2006NK Core I3 11th gen Ram 8Go
                                NeufHP
                                                                                    Médina,
                                                                                Dakar
                                    
                                        26. déc. '24, 11:57
                                    
                                            Vendeur vérifié
                                        
                    295 000 F Cfa
                        
                        774901212
                    
                        773611304
                    
                        767499096",https://www.expat-dakar.com/annonce/hp-15s-fq2006nk-core-i3-11th-gen-ram-8go-4493093,Neuf,HP,Gris,i3 11th gen,8Go,512Go ssd,295 000 F Cfa
1738673987-217,https://www.expat-dakar.com/ordinateurs?page=225,"HP SPECTRE X360 14-EF2013DX Core I7 13th gen Ram 16Go
                                NeufHP
                                                                                    Médina,
                                                                                Dakar
                                    
                                        26. déc. '24, 11:56
                                    
                                            Vendeur vérifié
                                        
                    860 000 F Cfa
                        
                        774901212
                    
                        773611304
                    
                        767499096",https://www.expat-dakar.com/annonce/hp-spectre-x360-14-ef2013dx-core-i7-13th-gen-ram-16go-4096290,Neuf,HP,Noir,i7 13th gen,16,512Go ssd,860 000 F Cfa
1738673998-219,https://www.expat-dakar.com/ordinateurs?page=224,"HP 14-DQ2038MS Core i3 11th gen
                                NeufHP
                                                                                    Médina,
                                                                                Dakar
                                    
                                        26. déc. '24, 11:55
                                    
                                            Vendeur vérifié
                                        
                    295 000 F Cfa
                        
                        774901212
                    
                        773611304
                    
                        767499096",https://www.expat-dakar.com/annonce/hp-14-dq2038ms-core-i3-11th-gen-5590966,Neuf,HP,Gris,i3 11th gen,8Go,512 go ssd,295 000 F Cfa
1738674002-220,https://www.expat-dakar.com/ordinateurs?page=224,"HP 14-DQ2078WM CORE I5 11TH 8GB/256GB SSD 14 POUCE
                                NeufHP
                                                                                    Médina,
                                                                                Dakar
                                    
                                        26. déc. '24, 11:54
                                    
                                            Vendeur vérifié
                                        
                    365 000 F Cfa
                        
                        774901212
                    
                        773611304
                    
                        767499096",https://www.expat-dakar.com/annonce/hp-14-dq2078wm-core-i5-11th-8gb256gb-ssd-14-pouce-5924693,Neuf,HP,silver,i5 11th,8,256 go ssd,365 000 F Cfa
1738674005-221,https://www.expat-dakar.com/ordinateurs?page=224,"GAMING ASUS TUF RYZEN 5 3550
                                D'occasionASUS
                                                                                    Thiaroye,
                                                                                Dakar
                                    
                                        14. nov. '23, 16:33
                                    
                    600 000 F Cfa
                        
                        767610419",https://www.expat-dakar.com/annonce/gaming-asus-tuf-ryzen-5-3550-5926812,D'occasion,ASUS,Noir,RYZEN 5 3550 (8 CPU’s),16GB DDR4 RAM,512GB SSD NVME,600 000 F Cfa
1738674009-222,https://www.expat-dakar.com/ordinateurs?page=224,"Ordinateur de Bureau Dell OptiPlex 7050
                                NeufDell
                                                                                    Hann maristes,
                                                                                Dakar
                                    
                                        5. janv., 22:20
                                    
                    150 000 F Cfa
                        
                        783051139
                    
                        783051139
                    
                        703055510",https://www.expat-dakar.com/annonce/ordinateur-de-bureau-dell-optiplex-7050-5930592,Neuf,Dell,Noir - Gris,"Quad Core/6 Mo/4T/3,4 GHz/65 W",16 GB,256 SSD,150 000 F Cfa
1738674025-223,https://www.expat-dakar.com/ordinateurs?page=224,"LENOVO DUAL CORE /512 SSD/4 GO
                                NeufLenovo
                                                                                    Médina,
                                                                                Dakar
                                    
                                        24. déc. '24, 12:22
                                    
                                            Vendeur vérifié
                                        
                    180 000 F Cfa
                        
                        770939191
                    
                        338420531",https://www.expat-dakar.com/annonce/lenovo-dual-core-512-ssd4-go-5906981,Neuf,Lenovo,gris,DUAL CORE,4Go,512 SSD,180 000 F Cfa
1738674032-224,https://www.expat-dakar.com/ordinateurs?page=224,"HP ELITEBOOK 840G6 I7
                                RéconditionnéHP
                                                                                    Colobane,
                                                                                Dakar
                                    
                                        6. janv., 08:48
                                    
                    225 000 F Cfa
                        
                        772684188
                    
                        773870030
                    
                        775789236",https://www.expat-dakar.com/annonce/hp-elitebook-840g6-i7-5855117,Réconditionné,HP,GRIS NOIR,CORE I7,16GO,256SSD,225 000 F Cfa
1738674040-225,https://www.expat-dakar.com/ordinateurs?page=224,"LENOVO IDEAPAD SLIM  I5 12TH GEN 14''
                                NeufLenovo
                                                                                    Médina,
                                                                                Dakar
                                    
                                        24. déc. '24, 12:21
                                    
                                            Vendeur vérifié
                                        
                    445 000 F Cfa
                        
                        770939191
                    
                        338420531",https://www.expat-dakar.com/annonce/lenovo-ideapad-slim-i5-12th-gen-14-5924584,Neuf,Lenovo,gris,CORE I5,8Go,512 SSD,445 000 F Cfa
1738674074-229,https://www.expat-dakar.com/ordinateurs?page=223,"Dell 6440 i5 4th ram 8 disque 500 go hdd 14''
                                VenantDell
                                                                                    Médina,
                                                                                Dakar
                                    
                                        26. déc. '24, 11:51
                                    
                                            Vendeur vérifié
                                        
                    115 000 F Cfa
                        
                        774901212
                    
                        773611304
                    
                        767499096",https://www.expat-dakar.com/annonce/dell-6440-i5-4th-ram-8-disque-500-go-hdd-14-4840755,Venant,Dell,Gris métal,I5 4th,8,500 go hdd ou 128 go ssd,115 000 F Cfa
1738674096-232,https://www.expat-dakar.com/ordinateurs?page=223,"ORDINATEURS FIXE HP CORE 17 , 22” POUCES
                                D'occasionHP
                                                                                    Colobane,
                                                                                Dakar
                                    
                                        dimanche, 18:40
                                    
                    90 000 F Cfa
                        
                        772684188
                    
                        773870030
                    
                        775789236",https://www.expat-dakar.com/annonce/ordinateurs-fixe-hp-core-17-22-pouces-5954553,D'occasion,HP,Noir,Core i7,8,500,90 000 F Cfa
1738674133-238,https://www.expat-dakar.com/ordinateurs?page=223,"All IN ON DELL 7460 i5 24Pouces
                                VenantDell
                                                                                    Médina,
                                                                                Dakar
                                    
                                        10. janv., 16:14
                                    
                    180 000 F Cfa
                        
                        775579621
                    
                        779451952
                    
                        338421708",https://www.expat-dakar.com/annonce/all-in-on-dell-7460-i5-24pouces-5914060,Venant,Dell,Noir,Core i5,8,500,180 000 F Cfa
1738674146-239,https://www.expat-dakar.com/ordinateurs?page=222,"Dell latitude 7480 core i5
                                NeufDell
                                                                                    Médina,
                                                                                Dakar
                                    
                                        10. janv., 16:13
                                    
                    160 000 F Cfa
                        
                        775579621
                    
                        779451952
                    
                        338421708",https://www.expat-dakar.com/annonce/dell-latitude-7480-core-i5-5959118,Neuf,Dell,Noire,Core i5,8,Ssd 256,160 000 F Cfa
1738674151-240,https://www.expat-dakar.com/ordinateurs?page=222,"LENOVO IDEAPAD SLIM CORE I5 15 '' 11th GEN
                                NeufLenovo
                                                                                    Médina,
                                                                                Dakar
                                    
                                        24. déc. '24, 12:20
                                    
                                            Vendeur vérifié
                                        
                    399 000 F Cfa
                        
                        770939191
                    
                        338420531",https://www.expat-dakar.com/annonce/lenovo-ideapad-slim-core-i5-15-11th-gen-5937549,Neuf,Lenovo,gris,CORE I5,8Go,512 SSD,399 000 F Cfa
1738674155-241,https://www.expat-dakar.com/ordinateurs?page=222,"Serveur DELL PowerEdge 2950
                                VenantDell
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        6. déc. '24, 14:58
                                    
                    75 000 F Cfa
                        
                        775430026
                    
                        338225777",https://www.expat-dakar.com/annonce/serveur-dell-poweredge-2950-5966122,Venant,Dell,Gris mettalique,4 cores 3:16 Ghzs,32 Go,2 Disques de 300 Go SAS 64 Kb,75 000 F Cfa
1738674161-242,https://www.expat-dakar.com/ordinateurs?page=222,"LENOVO IDEAPAD CORE I3 13TH GEN
                                NeufLenovo
                                                                                    Médina,
                                                                                Dakar
                                    
                                        24. déc. '24, 12:20
                                    
                                            Vendeur vérifié
                                        
                    290 000 F Cfa
                        
                        770939191
                    
                        338420531",https://www.expat-dakar.com/annonce/lenovo-ideapad-core-i3-13th-gen-5943671,Neuf,Lenovo,gris,CORE I3,8Go,512 SSD,290 000 F Cfa
1738674166-243,https://www.expat-dakar.com/ordinateurs?page=222,"X360 TACTILE  DELL, LENOVO 11.6""
                                RéconditionnéLenovo
                                                                                    Colobane,
                                                                                Dakar
                                    
                                        5. janv., 15:55
                                    
                    80 000 F Cfa
                        
                        772684188
                    
                        773870030
                    
                        775789236",https://www.expat-dakar.com/annonce/x360-tactile-dell-lenovo-116-5898380,Réconditionné,Lenovo,NOIR,INTEL PENTIUM,4GO,240 GO à 250 GO,80 000 F Cfa
1738674172-244,https://www.expat-dakar.com/ordinateurs?page=222,"HP 3500 CORE I3
                                NeufHP
                                                                                    Médina,
                                                                                Dakar
                                    
                                        6. janv., 11:21
                                    
                                            Vendeur vérifié
                                        
                    150 000 F Cfa
                        
                        770939191
                    
                        338420531",https://www.expat-dakar.com/annonce/hp-3500-core-i3-5283020,Neuf,HP,NOIR,CORE I3,4 GO,500 GO,150 000 F Cfa
1738674175-245,https://www.expat-dakar.com/ordinateurs?page=222,"PC HP all in one 27 pouces Core i7
                                NeufHP
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        16. janv., 12:11
                                    
                    995 000 F Cfa
                        
                        783181818
                    
                        783088888",https://www.expat-dakar.com/annonce/pc-hp-all-in-one-27-pouces-core-i7-5971430,Neuf,HP,Noire,Intel i7 12th generation,16,512,995 000 F Cfa
1738674180-246,https://www.expat-dakar.com/ordinateurs?page=222,"macbook pro 16pouces i7 1000g
                                VenantApple
                                                                                    Hlm grand-yoff,
                                                                                Dakar
                                    
                                        15. nov. '24, 13:11
                                    
                    650 000 F Cfa
                        
                        772133541",https://www.expat-dakar.com/annonce/macbook-pro-16pouces-i7-1000g-5974979,Venant,Apple,gray,i7,32g,1000,650 000 F Cfa
1738674184-247,https://www.expat-dakar.com/ordinateurs?page=222,"LENOVO.CORE I3.X360.11.6""TACTILE
                                RéconditionnéLenovo
                                                                                    Colobane,
                                                                                Dakar
                                    
                                        5. janv., 15:54
                                    
                    95 000 F Cfa
                        
                        772684188
                    
                        773870030
                    
                        775789236",https://www.expat-dakar.com/annonce/lenovocore-i3x360116tactile-5977955,Réconditionné,Lenovo,"Noir; Rouge, Jaune, Vert, Violet etc....",CORE I3,8go,256SSD,95 000 F Cfa
1738674196-249,https://www.expat-dakar.com/ordinateurs?page=221,"Hp probook 645 g1 AMD A10(i5) ram 8
                                VenantHP
                                                                                    Médina,
                                                                                Dakar
                                    
                                        26. déc. '24, 11:48
                                    
                                            Vendeur vérifié
                                        
                    115 000 F Cfa
                        
                        774901212
                    
                        773611304
                    
                        767499096",https://www.expat-dakar.com/annonce/hp-probook-645-g1-amd-a10i5-ram-8-5954146,Venant,HP,Noir,Amd  A10,8,256 go ssd,115 000 F Cfa
1738674200-250,https://www.expat-dakar.com/ordinateurs?page=221,"Lenovo t420/t430 i5 ram 4
                                VenantLenovo
                                                                                    Médina,
                                                                                Dakar
                                    
                                        26. déc. '24, 11:47
                                    
                                            Vendeur vérifié
                                        
                    90 000 F Cfa
                        
                        774901212
                    
                        773611304
                    
                        767499096",https://www.expat-dakar.com/annonce/lenovo-t420t430-i5-ram-4-5374810,Venant,Lenovo,Noir,i5,4,320 go hdd ou 128 go ssd,90 000 F Cfa
1738674216-253,https://www.expat-dakar.com/ordinateurs?page=221,"Lenovo t470 i5 ram 16 go
                                VenantLenovo
                                                                                    Médina,
                                                                                Dakar
                                    
                                        26. déc. '24, 11:38
                                    
                                            Vendeur vérifié
                                        
                    185 000 F Cfa
                        
                        774901212
                    
                        773611304
                    
                        767499096",https://www.expat-dakar.com/annonce/lenovo-t470-i5-ram-16-go-5193849,Venant,Lenovo,Noir,i5 6th,16 go,256 go ssd,185 000 F Cfa
1738674222-255,https://www.expat-dakar.com/ordinateurs?page=221,"GAMER LENOVO P52 CORE I7
                                RéconditionnéLenovo
                                                                                    Colobane,
                                                                                Dakar
                                    
                                        dimanche, 22:46
                                    
                    300 000 F Cfa
                        
                        776719695
                    
                        773870030
                    
                        778604359",https://www.expat-dakar.com/annonce/gamer-lenovo-p52-core-i7-5865267,Réconditionné,Lenovo,NOIR,CORE I7,16GO,512SSD,300 000 F Cfa
1738674225-256,https://www.expat-dakar.com/ordinateurs?page=221,"GAMER HP ZBOOK 14U G6 I5
                                RéconditionnéHP
                                                                                    Colobane,
                                                                                Dakar
                                    
                                        dimanche, 22:52
                                    
                    25 000 F Cfa
                        
                        776719695
                    
                        773870030
                    
                        778604359",https://www.expat-dakar.com/annonce/gamer-hp-zbook-14u-g6-i5-5858570,Réconditionné,HP,GRIS,CORE I5,16GO,512 SSD,25 000 F Cfa
1738674227-257,https://www.expat-dakar.com/ordinateurs?page=221,"HP ELITEBOOK 830G6 i7
                                RéconditionnéHP
                                                                                    Colobane,
                                                                                Dakar
                                    
                                        5. janv., 15:53
                                    
                    225 000 F Cfa
                        
                        772684188
                    
                        773870030
                    
                        775789236",https://www.expat-dakar.com/annonce/hp-elitebook-830g6-i7-5850025,Réconditionné,HP,GRIS NOIR,CORE I7,16GO,256Go SSD,225 000 F Cfa
1738674239-260,https://www.expat-dakar.com/ordinateurs?page=220,"Hp 650 g1 i5 ram 8
                                VenantHP
                                                                                    Médina,
                                                                                Dakar
                                    
                                        26. déc. '24, 11:33
                                    
                                            Vendeur vérifié
                                        
                    135 000 F Cfa
                        
                        774901212
                    
                        773611304
                    
                        767499096",https://www.expat-dakar.com/annonce/hp-650-g1-i5-ram-8-5989149,Venant,HP,Noir,i5,8,500 go hdd,135 000 F Cfa
1738674258-265,https://www.expat-dakar.com/ordinateurs?page=220,"DELL.3340.3350.I5.13 .3"" TACTILE
                                RéconditionnéDell
                                                                                    Colobane,
                                                                                Dakar
                                    
                                        5. janv., 15:52
                                    
                    90 000 F Cfa
                        
                        772684188
                    
                        773870030
                    
                        775789236",https://www.expat-dakar.com/annonce/dell33403350i513-3-tactile-5974961,Réconditionné,Dell,"NOIR, GRISE, BLEU, VERT, .......",CORE I5,8go,500GO,90 000 F Cfa
1738674261-266,https://www.expat-dakar.com/ordinateurs?page=220,"DELL LATITUDE E 3460 I3
                                RéconditionnéDell
                                                                                    Colobane,
                                                                                Dakar
                                    
                                        5. janv., 15:52
                                    
                    75 000 F Cfa
                        
                        772684188
                    
                        773870030
                    
                        775789236",https://www.expat-dakar.com/annonce/dell-latitude-e-3460-i3-5954733,Réconditionné,Dell,NOIR,CORE I3,8GO,500GO,75 000 F Cfa
1738674264-267,https://www.expat-dakar.com/ordinateurs?page=220,"DELL LATITUDE E 5440
                                RéconditionnéDell
                                                                                    Colobane,
                                                                                Dakar
                                    
                                        5. janv., 15:52
                                    
                    75 000 F Cfa
                        
                        772684188
                    
                        773870030
                    
                        775789236",https://www.expat-dakar.com/annonce/dell-latitude-e-5440-5954711,Réconditionné,Dell,NOIR,CORE I5,8GO,500GO,75 000 F Cfa
1738674267-268,https://www.expat-dakar.com/ordinateurs?page=220,"HP ELITEBOOK 850G6 I7
                                RéconditionnéHP
                                                                                    Colobane,
                                                                                Dakar
                                    
                                        dimanche, 18:37
                                    
                    225 000 F Cfa
                        
                        772684188
                    
                        773870030
                    
                        775789236",https://www.expat-dakar.com/annonce/hp-elitebook-850g6-i7-5843053,Réconditionné,HP,GRIS NOIR,CORE I7,16GO,256Go SSD,225 000 F Cfa
1738674276-270,https://www.expat-dakar.com/ordinateurs?page=219,"Core i5
                                D'occasionAcer
                                                                                    Gueule-Tapée,
                                                                                Dakar
                                    
                                        dimanche, 18:34
                                    
                    55 000 F Cfa
                        
                        772684188
                    
                        773870030
                    
                        775789236",https://www.expat-dakar.com/annonce/core-i5-2746049,D'occasion,Acer,noir,3Ghz,4 Go,500 Go,55 000 F Cfa
1738674279-271,https://www.expat-dakar.com/ordinateurs?page=219,"ORDINQTEURS FIXE HP CORE I7.8GO  , 22” POUCES
                                D'occasionHP
                                                                                    Colobane,
                                                                                Dakar
                                    
                                        dimanche, 18:34
                                    
                    90 000 F Cfa
                        
                        772684188
                    
                        773870030
                    
                        775789236",https://www.expat-dakar.com/annonce/ordinqteurs-fixe-hp-core-i78go-22-pouces-5954541,D'occasion,HP,Noir,"3,40 GHZ",8,500,90 000 F Cfa
1738674297-277,https://www.expat-dakar.com/ordinateurs?page=219,"HP X360 DELL TACTILE
                                RéconditionnéDell
                                                                                    Colobane,
                                                                                Dakar
                                    
                                        25. nov. '24, 23:52
                                    
                    75 000 F Cfa
                        
                        776719695
                    
                        773870030
                    
                        778604359",https://www.expat-dakar.com/annonce/hp-x360-dell-tactile-5811653,Réconditionné,Dell,"ROUGE, NOIR, JAUNE, GRISE, BLEU,.......I",Intel,4GO,128GO,75 000 F Cfa
1738674299-278,https://www.expat-dakar.com/ordinateurs?page=219,"HP ELITEBOOK 830 840 G6 I7 16Go/512SSD
                                RéconditionnéHP
                                                                                    Colobane,
                                                                                Dakar
                                    
                                        dimanche, 22:56
                                    
                    225 000 F Cfa
                        
                        776719695
                    
                        773870030
                    
                        778604359",https://www.expat-dakar.com/annonce/hp-elitebook-830-840-g6-i7-16go512ssd-5848804,Réconditionné,HP,GRIS NOIR,CORE I7,16GO,512 GO SSD,225 000 F Cfa
